name,address,website,phone,category,location,mock_score,needs_website
Plumber Elite Capital,"97 Grafton St, Dublin 2",https://plumberelitecapital.ie,+353 4 734 7382,Plumber,"Dublin, Ireland",30,False
Electrician City Dublin,"16 Grafton St, Dublin 1",https://electriciancitydublin.ie,+353 58 287 2638,Electrician,"Dublin, Ireland",16,False
Cafe Premier Dublin,"40 Camden St, Dublin 4",https://cafepremierdublin.ie,+353 8 855 3969,Cafe,"Dublin, Ireland",7,True
Hotel Metro Dublin,"44 Grafton St, Dublin 4",https://hotelmetrodublin.ie,+353 50 627 6388,Hotel,"Dublin, Ireland",26,False
Hotel Elite Irish,"71 Grafton St, Dublin 2",https://hoteleliteirish.ie,+353 46 535 9967,Hotel,"Dublin, Ireland",15,False
Electrician Premier Dublin,"1 O'Connell St, Dublin 12",https://electricianpremierdublin.ie,+353 46 217 2317,Electrician,"Dublin, Ireland",25,False
Electrician Metro Irish,"66 Camden St, Dublin 1",https://electricianmetroirish.ie,+353 5 210 9007,Electrician,"Dublin, Ireland",1,True
Dentist Metro Irish,"34 Camden St, Dublin 8",https://dentistmetroirish.ie,+353 8 570 6474,Dentist,"Dublin, Ireland",26,False
Cafe Prime Capital,"81 Camden St, Dublin 12",https://cafeprimecapital.ie,+353 31 720 9144,Cafe,"Dublin, Ireland",13,True
Electrician City Irish,"82 Main St, Dublin 12",https://electriciancityirish.ie,+353 38 579 1638,Electrician,"Dublin, Ireland",11,True
Dentist Elite Capital,"32 Grafton St, Dublin 4",https://dentistelitecapital.ie,+353 48 136 5283,Dentist,"Dublin, Ireland",8,True
Dentist Metro Capital,"54 Main St, Dublin 2",https://dentistmetrocapital.ie,+353 37 474 8232,Dentist,"Dublin, Ireland",15,False
Dentist Metro Capital,"42 Main St, Dublin 2",https://dentistmetrocapital.ie,+353 23 881 3784,Dentist,"Dublin, Ireland",12,True
Solicitor City Capital,"18 Main St, Dublin 12",https://solicitorcitycapital.ie,+353 57 690 4122,Solicitor,"Dublin, Ireland",19,False
Electrician Premier Dublin,"43 Grafton St, Dublin 2",https://electricianpremierdublin.ie,+353 81 213 5708,Electrician,"Dublin, Ireland",14,True
Dentist Metro Capital,"92 Camden St, Dublin 1",https://dentistmetrocapital.ie,+353 76 256 5694,Dentist,"Dublin, Ireland",2,True
Restaurant Premier Capital,"26 Camden St, Dublin 2",NO_WEBSITE,+353 1 624 6724,Restaurant,"Dublin, Ireland",0,True
Dentist Metro Irish,"78 Grafton St, Dublin 4",https://dentistmetroirish.ie,+353 76 899 2797,Dentist,"Dublin, Ireland",17,False
Dentist Metro Dublin,"96 Main St, Dublin 2",https://dentistmetrodublin.ie,+353 27 683 9045,Dentist,"Dublin, Ireland",24,False
Plumber Premier Irish,"50 Grafton St, Dublin 4",https://plumberpremierirish.ie,+353 17 651 9051,Plumber,"Dublin, Ireland",9,True
Plumber Premier Dublin,"87 Main St, Dublin 1",https://plumberpremierdublin.ie,+353 96 950 3917,Plumber,"Dublin, Ireland",8,True
Restaurant Premier Capital,"60 Main St, Dublin 12",https://restaurantpremiercapital.ie,+353 31 141 4311,Restaurant,"Dublin, Ireland",13,True
Plumber Metro Irish,"32 Grafton St, Dublin 12",https://plumbermetroirish.ie,+353 47 951 3094,Plumber,"Dublin, Ireland",28,False
Plumber Premier Irish,"79 O'Connell St, Dublin 4",https://plumberpremierirish.ie,+353 56 925 9389,Plumber,"Dublin, Ireland",24,False
Solicitor Elite Irish,"23 Main St, Dublin 4",NO_WEBSITE,+353 62 558 7797,Solicitor,"Dublin, Ireland",0,True
Dentist City Irish,"19 O'Connell St, Dublin 8",https://dentistcityirish.ie,+353 52 766 1672,Dentist,"Dublin, Ireland",7,True
Cafe Metro Dublin,"76 O'Connell St, Dublin 12",NO_WEBSITE,+353 68 285 9915,Cafe,"Dublin, Ireland",0,True
Dentist Prime Capital,"13 Camden St, Dublin 1",https://dentistprimecapital.ie,+353 62 485 5388,Dentist,"Dublin, Ireland",18,False
Cafe Elite Dublin,"22 Main St, Dublin 8",https://cafeelitedublin.ie,+353 32 897 4531,Cafe,"Dublin, Ireland",23,False
Dentist Premier Dublin,"40 O'Connell St, Dublin 6",NO_WEBSITE,+353 51 541 5836,Dentist,"Dublin, Ireland",0,True
Electrician Metro Irish,"56 Camden St, Dublin 2",https://electricianmetroirish.ie,+353 45 543 2892,Electrician,"Dublin, Ireland",10,True
Hotel Metro Dublin,"36 Grafton St, Dublin 6",https://hotelmetrodublin.ie,+353 13 287 3808,Hotel,"Dublin, Ireland",15,False
Restaurant City Irish,"57 Main St, Dublin 6",NO_WEBSITE,+353 66 450 7589,Restaurant,"Dublin, Ireland",0,True
Cafe Elite Dublin,"5 Main St, Dublin 2",https://cafeelitedublin.ie,+353 69 656 4014,Cafe,"Dublin, Ireland",11,True
Cafe Elite Irish,"66 Main St, Dublin 6",https://cafeeliteirish.ie,+353 38 524 5508,Cafe,"Dublin, Ireland",1,True
Hotel Prime Irish,"36 Grafton St, Dublin 12",https://hotelprimeirish.ie,+353 28 981 5348,Hotel,"Dublin, Ireland",29,False
Hotel Metro Irish,"10 Grafton St, Dublin 1",https://hotelmetroirish.ie,+353 78 122 2707,Hotel,"Dublin, Ireland",24,False
Plumber Elite Capital,"74 Main St, Dublin 8",https://plumberelitecapital.ie,+353 48 286 4532,Plumber,"Dublin, Ireland",8,True
Dentist City Dublin,"56 Main St, Dublin 6",https://dentistcitydublin.ie,+353 90 130 1551,Dentist,"Dublin, Ireland",6,True
Restaurant City Capital,"95 O'Connell St, Dublin 1",https://restaurantcitycapital.ie,+353 90 996 2904,Restaurant,"Dublin, Ireland",13,True
Electrician City Dublin,"15 Camden St, Dublin 8",https://electriciancitydublin.ie,+353 5 213 6270,Electrician,"Dublin, Ireland",25,False
Restaurant City Irish,"83 Camden St, Dublin 2",https://restaurantcityirish.ie,+353 55 581 7903,Restaurant,"Dublin, Ireland",29,False
Electrician Prime Capital,"65 Grafton St, Dublin 1",https://electricianprimecapital.ie,+353 17 498 4108,Electrician,"Dublin, Ireland",0,True
Dentist Premier Capital,"87 Grafton St, Dublin 4",https://dentistpremiercapital.ie,+353 63 643 3377,Dentist,"Dublin, Ireland",3,True
Solicitor Prime Dublin,"54 Main St, Dublin 1",https://solicitorprimedublin.ie,+353 60 735 2967,Solicitor,"Dublin, Ireland",25,False
Cafe Prime Capital,"27 Grafton St, Dublin 2",https://cafeprimecapital.ie,+353 45 186 8160,Cafe,"Dublin, Ireland",17,False
Hotel Prime Capital,"43 Main St, Dublin 6",https://hotelprimecapital.ie,+353 71 459 3509,Hotel,"Dublin, Ireland",20,False
Hotel Elite Dublin,"47 O'Connell St, Dublin 12",https://hotelelitedublin.ie,+353 82 973 6876,Hotel,"Dublin, Ireland",2,True
Plumber Elite Capital,"4 Main St, Dublin 1",https://plumberelitecapital.ie,+353 50 639 9930,Plumber,"Dublin, Ireland",29,False
Cafe Metro Capital,"32 O'Connell St, Dublin 8",NO_WEBSITE,+353 27 640 2502,Cafe,"Dublin, Ireland",0,True
